,min,max,,,VALUE COUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB,106,160,,,LB,,,,AC,,,,FM,,,,UC,,,,ALTV,,,,MLTV,,,,DL,,,,DS,,,,DP,,,,NSP,,
AC,0,26,,,,106,7,,,0,891,,,0,1311,,,0,332,,,0,1240,,,0,137,,,0,1231,,,0,2119,,,0,1948,,,1,1655
FM,0,564,,,,110,21,,,1,242,,,1,208,,,3,294,,,1,52,,,6.7,29,,,1,232,,,1,7,,,1,109,,,2,295
UC,0,23,,,,112,16,,,2,164,,,2,119,,,4,272,,,2,45,,,7.1,29,,,2,127,,,,,,,2,49,,,3,176
ASTV,12,87,,,,114,11,,,3,162,,,3,85,,,1,238,,,5,43,,,5.2,25,,,4,123,,,,,,,3,19,,,,
MSTV,0.2,7,,,,115,28,,,4,148,,,4,65,,,2,236,,,4,40,,,6.5,25,,,3,112,,,,,,,4,1,,,,
ALTV,0,91,,,,116,5,,,5,110,,,,...,,,5,235,,,,...,,,,...,,,5,108,,,,,,,,,,,,
MLTV,0,50.7,,,,117,2,,,6,104,,,,,,,6,199,,,65,1,,,28.9,1,,,6,67,,,,,,,,,,,,
DL,0,16,,,,118,9,,,7,76,,,,,,,7,114,,,88,1,,,40.8,1,,,7,45,,,,,,,,,,,,
DS,0,1,,,,119,17,,,8,56,,,,,,,8,82,,,86,1,,,29.5,1,,,8,28,,,,,,,,,,,,
DP,0,4,,,,120,78,,,9,50,,,,,,,9,57,,,82,1,,,29.1,1,,,9,25,,,,,,,,,,,,
Width,3,180,,,,121,44,,,10,40,,,,,,,10,29,,,79,1,,,23,1,,,11,12,,,,,,,,,,,,
Min,50,159,,,,122,109,,,11,16,,,,,,,11,16,,,,,,,,,,,10,7,,,,,,,,,,,,
Max,122,238,,,,123,56,,,12,17,,,,,,,12,9,,,,,,,,,,,12,6,,,,,,,,,,,,
Nmax,0,18,,,,124,10,,,13,15,,,,,,,13,6,,,,,,,,,,,14,2,,,,,,,,,,,,
Nzeros,0,10,,,,125,91,,,14,13,,,,,,,14,3,,,,,,,,,,,16,1,,,,,,,,,,,,
Mode,60,187,,,,126,38,,,15,5,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,
Mean,73,182,,,,127,60,,,16,4,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,
Median,77,186,,,,128,85,,,17,7,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,
Variance,0,269,,,,129,57,,,18,2,,,,,,,23,1,,,,,,,,,,,,,,,,,,,,,,,,
Tendency,-1,1,,,,130,111,,,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1,10,,,,131,56,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSP,1,3,,,,132,76,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,133,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,134,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,135,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,136,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,137,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,138,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,139,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,140,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,141,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,142,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,143,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,144,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,145,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,146,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,147,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,148,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,149,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,150,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,151,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,152,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,154,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,156,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,157,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,158,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,159,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
